id,first_name,last_name,email,gender,transaction_per_year,discount_ratio,no_of_transactions,time_in_system,churned
345,Rachel,Dunn,rdunn9k@phpbb.com,Female,442557,0,8,9,0
346,Deborah,Hunt,dhunt9l@nps.gov,Female,433598,0.5,19,4,0
347,Kevin,Jenkins,kjenkins9m@goo.gl,Male,369218,0.5,14,9,1
348,Steve,Stephens,sstephens9n@samsung.com,Male,186890,0.6,11,12,1
349,Arthur,Cole,acole9o@nymag.com,Male,444084,0.2,17,6,0
350,Eugene,Rice,erice9p@nba.com,Male,135677,0.3,9,10,0
351,Billy,West,bwest9q@fda.gov,Male,464463,0.1,13,12,0
352,Keith,Smith,ksmith9r@edublogs.org,Male,166330,0.9,11,10,0
353,Howard,Garrett,hgarrett9s@netvibes.com,Male,400390,0.8,12,11,1
354,Michael,Lawson,mlawson9t@house.gov,Male,78025,0.8,16,9,0
355,Christopher,Ortiz,cortiz9u@hao123.com,Male,163854,0.7,16,10,1
356,Scott,Knight,sknight9v@techcrunch.com,Male,380057,1,18,10,1
357,Mildred,Williams,mwilliams9w@google.com.hk,Female,148149,0.9,7,10,0
358,Bruce,Hunter,bhunter9x@dailymail.co.uk,Male,208270,0.9,18,9,0
359,Lawrence,Ray,lray9y@google.com.hk,Male,424606,0.6,15,11,0
360,Kimberly,Parker,kparker9z@wordpress.com,Female,420766,0.8,9,4,1
361,Christopher,Baker,cbakera0@hc360.com,Male,281416,0.7,16,12,1
362,Bobby,Harris,bharrisa1@tmall.com,Male,80652,0.9,17,5,1
363,Donna,Lynch,dlyncha2@cargocollective.com,Female,297718,0.2,20,12,0
364,Lisa,Rice,lricea3@issuu.com,Female,76795,0.1,15,10,1
365,Lisa,Riley,lrileya4@walmart.com,Female,230155,0.9,16,7,1
366,Jessica,Miller,jmillera5@oaic.gov.au,Female,109332,0.2,9,5,0
367,Samuel,Nelson,snelsona6@chicagotribune.com,Male,170063,0.7,8,6,0
368,Brian,Hawkins,bhawkinsa7@com.com,Male,199239,0.5,16,7,0
369,Heather,Marshall,hmarshalla8@pinterest.com,Female,374025,0.2,5,9,0
370,Jessica,Harvey,jharveya9@google.co.uk,Female,459387,0.8,6,7,1
371,Mildred,Reyes,mreyesaa@youku.com,Female,359287,0.1,6,4,0
372,Henry,Johnson,hjohnsonab@skyrock.com,Male,327078,0.6,19,9,1
373,Jerry,Watson,jwatsonac@wordpress.com,Male,433273,0.6,6,9,1
374,Justin,Weaver,jweaverad@boston.com,Male,131799,0.9,17,12,1
375,Bruce,Gomez,bgomezae@pinterest.com,Male,53658,0.3,9,5,0
376,Eugene,Bennett,ebennettaf@ustream.tv,Male,422768,0.7,11,8,0
377,Marilyn,George,mgeorgeag@vimeo.com,Female,142093,0.2,19,6,0
378,Lois,White,lwhiteah@hostgator.com,Female,486730,0.2,14,11,1
379,Matthew,Morrison,mmorrisonai@goodreads.com,Male,304896,0.9,8,10,0
380,Evelyn,Simpson,esimpsonaj@hostgator.com,Female,411811,0.6,6,10,1
381,Jack,Peterson,jpetersonak@feedburner.com,Male,365204,0.4,16,12,0
382,Sharon,Perez,sperezal@mysql.com,Female,387511,0.5,13,11,0
383,Patrick,Price,ppriceam@dion.ne.jp,Male,419996,0.6,11,8,1
384,Jonathan,Oliver,joliveran@jalbum.net,Male,406911,0.7,16,10,1
385,Karen,Gordon,kgordonao@dell.com,Female,399779,0.3,12,5,1
386,Timothy,Carter,tcarterap@prweb.com,Male,327570,0,5,3,1
387,Brian,Cunningham,bcunninghamaq@salon.com,Male,451823,0.8,19,8,1
388,Christina,Myers,cmyersar@cnn.com,Female,418065,0.9,9,7,0
389,Susan,Henry,shenryas@privacy.gov.au,Female,248252,0.3,19,8,0
390,Deborah,Peterson,dpetersonat@geocities.com,Female,256561,0.8,8,6,0
391,Marilyn,Fisher,mfisherau@reference.com,Female,82687,1,13,7,1
392,Joseph,Wood,jwoodav@upenn.edu,Male,438355,0.2,20,11,1
393,Eugene,Hart,ehartaw@discuz.net,Male,387178,0.4,13,11,1
394,Bonnie,Gordon,bgordonax@sina.com.cn,Female,476186,0.3,6,9,1
395,Brandon,Fields,bfieldsay@altervista.org,Male,349957,0.2,11,4,1
396,Scott,Spencer,sspenceraz@ning.com,Male,391689,0.7,16,4,1
397,Anthony,Campbell,acampbellb0@e-recht24.de,Male,195389,1,11,6,0
398,Paula,Duncan,pduncanb1@patch.com,Female,300594,0.3,16,10,0
399,Todd,Wheeler,twheelerb2@thetimes.co.uk,Male,286280,0.9,14,12,0
400,Jessica,Nichols,jnicholsb3@imdb.com,Female,473847,0.5,10,12,1
401,Andrea,Harris,aharrisb4@instagram.com,Female,224120,0.5,19,6,1
402,Alice,Perry,aperryb5@domainmarket.com,Female,353578,0.6,16,12,0
403,Paula,Ferguson,pfergusonb6@bbb.org,Female,449658,0.4,18,3,1
404,Theresa,Reynolds,treynoldsb7@geocities.com,Female,206805,0.9,20,11,1
405,Paula,Robertson,probertsonb8@newsvine.com,Female,91353,0.3,13,6,1
406,Joan,Gonzales,jgonzalesb9@miitbeian.gov.cn,Female,59818,0.8,19,9,0
407,Kevin,Henderson,khendersonba@topsy.com,Male,437866,0.3,19,8,1
408,Shirley,Palmer,spalmerbb@homestead.com,Female,230045,0.3,8,12,1
409,Nicholas,Weaver,nweaverbc@bravesites.com,Male,113958,0,15,8,1
410,Beverly,Phillips,bphillipsbd@oaic.gov.au,Female,498223,0.9,11,8,1
411,Jennifer,Murray,jmurraybe@stumbleupon.com,Female,376056,0.2,16,8,1
412,Arthur,Hunt,ahuntbf@lulu.com,Male,498033,0.1,9,6,1
413,Jerry,Frazier,jfrazierbg@ca.gov,Male,204227,0.5,5,3,1
414,Rebecca,Rodriguez,rrodriguezbh@unblog.fr,Female,173669,0.1,13,6,1
415,Shawn,Gilbert,sgilbertbi@pen.io,Male,270740,0.1,19,6,0
416,Michelle,Johnson,mjohnsonbj@weibo.com,Female,131074,0.3,5,8,0
417,Michelle,Mitchell,mmitchellbk@jiathis.com,Female,292623,0.7,13,6,1
418,Diana,Austin,daustinbl@dyndns.org,Female,97405,0.5,7,10,0
419,Larry,Hunt,lhuntbm@bravesites.com,Male,326670,0.9,17,9,0
420,Carl,Harvey,charveybn@macromedia.com,Male,293748,0.1,5,12,0
421,Victor,Vasquez,vvasquezbo@dailymail.co.uk,Male,77225,0.4,18,12,1
422,Jeremy,King,jkingbp@meetup.com,Male,137332,0.3,15,4,0
423,Teresa,Rice,tricebq@networkadvertising.org,Female,479966,0.3,7,7,0
424,Sara,Harper,sharperbr@state.tx.us,Female,379188,0.5,13,9,1
425,Louise,Brown,lbrownbs@instagram.com,Female,283586,0.1,15,4,0
426,Nicholas,Harvey,nharveybt@tripadvisor.com,Male,276938,0.9,20,10,1
427,Todd,Griffin,tgriffinbu@seattletimes.com,Male,162563,0.8,17,7,0
428,Shawn,Perkins,sperkinsbv@wordpress.org,Male,113538,0.5,15,11,1
429,Randy,Turner,rturnerbw@admin.ch,Male,328928,0.2,9,6,1
430,Earl,West,ewestbx@nature.com,Male,298187,0.4,20,8,1
431,John,Collins,jcollinsby@cargocollective.com,Male,145118,0.2,17,3,0
432,Shirley,Tucker,stuckerbz@nationalgeographic.com,Female,499724,0.8,11,8,1
433,Raymond,Andrews,randrewsc0@ft.com,Male,460147,0.4,9,10,1
434,Mary,Sullivan,msullivanc1@utexas.edu,Female,437185,0.6,12,8,1
435,Albert,Anderson,aandersonc2@naver.com,Male,153467,0.2,11,6,1
436,Irene,Dunn,idunnc3@redcross.org,Female,53338,0.5,11,9,0
437,Terry,Bell,tbellc4@bbb.org,Male,61600,0.9,9,8,1
438,Alice,Baker,abakerc5@theguardian.com,Female,93225,0.4,7,8,0
439,Steve,Oliver,soliverc6@examiner.com,Male,95126,0.6,20,7,1
440,Earl,Garza,egarzac7@free.fr,Male,377806,0.4,5,10,0
441,Marilyn,Matthews,mmatthewsc8@theglobeandmail.com,Female,373210,0.4,9,10,1
442,Eugene,Richards,erichardsc9@yahoo.com,Male,359260,0,14,10,1
443,Martha,Ross,mrossca@barnesandnoble.com,Female,476213,0.3,8,8,0
444,Cynthia,Fuller,cfullercb@webs.com,Female,123138,1,7,8,0
445,Anne,Jones,ajonescc@cam.ac.uk,Female,65378,0.7,18,8,0
446,Jeffrey,Simmons,jsimmonscd@phoca.cz,Male,311732,0.1,8,9,0
447,Carol,Walker,cwalkerce@examiner.com,Female,466751,0.6,6,6,0
448,Gloria,Moreno,gmorenocf@twitter.com,Female,85676,0.1,18,8,1
449,Karen,Brown,kbrowncg@boston.com,Female,191906,0.4,15,8,1
450,Kimberly,Mccoy,kmccoych@hao123.com,Female,332193,0.3,9,4,1
451,Diane,Morgan,dmorganci@globo.com,Female,152702,0.4,6,8,0
452,Melissa,Burke,mburkecj@narod.ru,Female,233382,0.7,15,6,1
453,Bobby,Collins,bcollinsck@hatena.ne.jp,Male,173993,0.5,13,11,0
454,Virginia,Taylor,vtaylorcl@lulu.com,Female,459559,0.5,11,4,1
455,Chris,Day,cdaycm@sitemeter.com,Male,132306,0.1,9,3,0
456,Carlos,Sims,csimscn@upenn.edu,Male,475144,0.2,9,3,0
457,Lawrence,Greene,lgreeneco@icio.us,Male,192339,0.2,12,8,1
458,Teresa,Kelley,tkelleycp@ycombinator.com,Female,183280,0.5,16,4,1
459,Ruby,Roberts,rrobertscq@sakura.ne.jp,Female,148557,0.6,17,11,1
460,Joseph,Kennedy,jkennedycr@buzzfeed.com,Male,240441,0.2,16,3,0
461,Alan,Hill,ahillcs@upenn.edu,Male,276333,0.3,6,8,0
462,Barbara,Gomez,bgomezct@bloglines.com,Female,405038,0.6,7,9,1
463,Brandon,Gonzalez,bgonzalezcu@delicious.com,Male,272726,0.5,17,6,0
464,Gregory,Banks,gbankscv@imageshack.us,Male,57717,0.8,12,7,0
465,Debra,Cunningham,dcunninghamcw@creativecommons.org,Female,361111,0.1,13,11,1
466,Jose,Morris,jmorriscx@tripod.com,Male,424207,0.9,18,4,0
467,Todd,Gray,tgraycy@oaic.gov.au,Male,104158,0.1,5,9,1
468,Margaret,Fisher,mfishercz@ca.gov,Female,153777,0.6,19,12,0
469,Earl,Mitchell,emitchelld0@goodreads.com,Male,64029,0.5,18,5,1
470,Sarah,George,sgeorged1@xrea.com,Female,452367,0.9,11,4,0
471,Betty,Henry,bhenryd2@yahoo.com,Female,377079,0.6,7,12,0
472,Gary,Perez,gperezd3@sphinn.com,Male,450728,0.8,10,3,0
473,Eric,Gordon,egordond4@wired.com,Male,92322,0.3,15,3,0
474,Shawn,Porter,sporterd5@exblog.jp,Male,209997,1,6,3,0
475,Roy,Gomez,rgomezd6@mapy.cz,Male,104290,1,15,9,1
476,Harold,Henry,hhenryd7@drupal.org,Male,323346,0.6,12,8,0
477,Kenneth,Hunt,khuntd8@admin.ch,Male,179991,0.8,16,12,1
478,Ann,Campbell,acampbelld9@soup.io,Female,240054,0.5,10,5,1
479,Carol,Wood,cwoodda@umn.edu,Female,213019,0.5,5,5,1
480,Paul,Evans,pevansdb@nih.gov,Male,250019,0.3,14,10,1
481,Paul,Long,plongdc@cnbc.com,Male,353833,0.3,13,12,0
482,Louis,Campbell,lcampbelldd@sun.com,Male,472752,0.3,20,12,0
483,William,Hughes,whughesde@spiegel.de,Male,319916,0.2,16,4,0
484,Howard,Harris,hharrisdf@sciencedirect.com,Male,305615,0,5,5,0
485,Teresa,Lee,tleedg@bravesites.com,Female,284065,0.2,17,7,0
486,Jacqueline,Ross,jrossdh@ucoz.ru,Female,251182,0.7,10,12,1
487,Mark,Henry,mhenrydi@state.gov,Male,205054,0.3,14,5,1
488,Sara,Anderson,sandersondj@purevolume.com,Female,438975,0.7,8,3,0
489,Jimmy,Collins,jcollinsdk@npr.org,Male,409097,0.7,11,5,0
490,Gregory,Marshall,gmarshalldl@macromedia.com,Male,292534,0.4,16,10,0
491,Emily,Martinez,emartinezdm@google.com.au,Female,396588,0.5,9,6,1
492,James,Ellis,jellisdn@toplist.cz,Male,252324,0.8,10,10,0
493,Annie,Richards,arichardsdo@geocities.com,Female,156640,0.9,11,11,0
494,Thomas,West,twestdp@hc360.com,Male,129282,0.6,5,9,1
495,Christopher,Ferguson,cfergusondq@google.ru,Male,123554,1,6,5,0
496,Rose,King,rkingdr@rediff.com,Female,336507,0.3,10,12,1
497,Catherine,Cruz,ccruzds@domainmarket.com,Female,478892,0.1,14,5,0
498,Terry,Patterson,tpattersondt@meetup.com,Male,230193,0.1,15,9,0
499,Doris,Green,dgreendu@github.io,Female,237746,0.7,18,9,1
500,Justin,Nguyen,jnguyendv@cargocollective.com,Male,218098,0.3,11,11,1
501,Clarence,Dean,cdeandw@elegantthemes.com,Male,372996,0.1,19,7,1
502,Jason,Warren,jwarrendx@ed.gov,Male,238318,0.8,13,4,1
503,Ronald,Edwards,redwardsdy@huffingtonpost.com,Male,272368,0.9,16,7,1
504,Ronald,Fields,rfieldsdz@privacy.gov.au,Male,130019,0.2,10,6,0
505,Joan,Griffin,jgriffine0@ameblo.jp,Female,128492,0.1,15,4,0
506,Mary,Mccoy,mmccoye1@ovh.net,Female,402792,0.1,10,4,1
507,Anne,Gonzales,agonzalese2@about.com,Female,183051,0.3,12,11,1
508,Joseph,Richards,jrichardse3@w3.org,Male,249896,0.8,15,3,1
509,Laura,Howard,lhowarde4@seattletimes.com,Female,159314,0.2,13,6,0
510,Russell,Hawkins,rhawkinse5@cyberchimps.com,Male,312202,0.9,12,3,1
511,Joyce,Graham,jgrahame6@etsy.com,Female,212907,0.8,20,11,0
512,David,Diaz,ddiaze7@domainmarket.com,Male,299133,0.4,12,11,0
513,Emily,Simpson,esimpsone8@tinyurl.com,Female,374266,0.8,9,12,0
514,John,James,jjamese9@cbslocal.com,Male,311363,0.5,15,4,0
515,Judith,Nelson,jnelsonea@latimes.com,Female,167630,0.6,5,6,1
516,Mildred,Rivera,mriveraeb@who.int,Female,197695,0.8,9,4,1
517,Todd,Mcdonald,tmcdonaldec@comcast.net,Male,120013,0.5,19,10,1
518,Norma,Jenkins,njenkinsed@statcounter.com,Female,269107,0.8,16,11,1
519,Janice,Day,jdayee@gnu.org,Female,205646,0.8,7,6,1
520,Barbara,Cunningham,bcunninghamef@craigslist.org,Female,363492,0.2,13,3,1
521,Lori,Day,ldayeg@auda.org.au,Female,352517,1,13,11,0
522,Virginia,Peters,vpeterseh@cdbaby.com,Female,404115,0.3,18,9,1
523,Johnny,Mendoza,jmendozaei@auda.org.au,Male,347423,0.8,17,12,1
524,Janet,Garcia,jgarciaej@about.me,Female,412033,0.2,10,6,0
525,Gloria,Moreno,gmorenoek@go.com,Female,183450,0,17,4,1
526,Earl,Schmidt,eschmidtel@google.fr,Male,432525,1,14,11,0
527,Gloria,Harris,gharrisem@blog.com,Female,131392,0.8,5,11,1
528,Tina,Ross,trossen@goo.ne.jp,Female,289071,0.1,16,6,0
529,Ruth,Hill,rhilleo@cam.ac.uk,Female,426364,0.1,9,11,1
530,Arthur,Edwards,aedwardsep@mlb.com,Male,184219,0.1,10,4,0
531,Andrea,Sullivan,asullivaneq@seesaa.net,Female,98154,0.5,11,3,1
532,Katherine,Perkins,kperkinser@taobao.com,Female,427115,0.1,19,4,1
533,Barbara,Owens,bowenses@jiathis.com,Female,233162,0.2,8,11,1
534,Johnny,Smith,jsmithet@ftc.gov,Male,184805,0,10,8,1
535,David,Patterson,dpattersoneu@google.ru,Male,343233,0.5,19,9,1
536,Carl,Cox,ccoxev@ustream.tv,Male,188414,0.4,15,9,0
537,Alice,Wood,awoodew@ihg.com,Female,433311,0.3,17,6,0
538,Adam,Stewart,astewartex@economist.com,Male,161055,0.1,15,7,0
539,Jacqueline,Payne,jpayneey@arizona.edu,Female,81987,0.1,19,10,1
540,Daniel,Mason,dmasonez@etsy.com,Male,488523,0,19,12,0
541,Alice,Stewart,astewartf0@time.com,Female,106730,1,19,10,0
542,Raymond,Bradley,rbradleyf1@hugedomains.com,Male,489783,0.7,10,8,1
543,Ernest,Hughes,ehughesf2@cam.ac.uk,Male,236204,0.2,6,6,1
544,Susan,Ford,sfordf3@cmu.edu,Female,348605,0.5,14,7,0
545,Arthur,Holmes,aholmesf4@princeton.edu,Male,164127,0.4,7,7,1
546,Shirley,Parker,sparkerf5@squarespace.com,Female,61448,1,13,4,0
547,Scott,Johnson,sjohnsonf6@dailymotion.com,Male,454688,0.9,18,10,0
548,Ann,Daniels,adanielsf7@storify.com,Female,409399,0.1,14,9,0
549,Maria,Cunningham,mcunninghamf8@jalbum.net,Female,255729,0.9,14,6,0
550,Bonnie,Richardson,brichardsonf9@seesaa.net,Female,172546,0.3,11,9,1
551,Ashley,Cunningham,acunninghamfa@1und1.de,Female,169337,0.7,6,9,1
552,Raymond,Phillips,rphillipsfb@sina.com.cn,Male,489807,0.4,5,9,0
553,Russell,Washington,rwashingtonfc@alibaba.com,Male,107382,0.7,18,9,1
554,Nicholas,Wilson,nwilsonfd@techcrunch.com,Male,77401,0.4,14,11,0
555,Doris,Peters,dpetersfe@google.ca,Female,445381,0.9,10,4,0
556,Rebecca,Morris,rmorrisff@cdbaby.com,Female,146118,0.7,11,9,0
557,Ruby,Anderson,randersonfg@livejournal.com,Female,245516,0.4,16,7,1
558,Henry,Jacobs,hjacobsfh@cafepress.com,Male,485647,0.9,20,5,0
559,Timothy,Allen,tallenfi@cnn.com,Male,340916,0.4,15,6,1
560,Peter,Hudson,phudsonfj@eepurl.com,Male,439895,0.7,7,9,1
561,Paula,Austin,paustinfk@shutterfly.com,Female,278172,0.1,11,4,0
562,Lois,Thompson,lthompsonfl@hugedomains.com,Female,473641,0.1,6,5,0
563,Ryan,Fernandez,rfernandezfm@yahoo.co.jp,Male,257616,0,7,3,1
564,Stephanie,Hernandez,shernandezfn@facebook.com,Female,297758,0.9,8,7,0
565,Chris,Stanley,cstanleyfo@forbes.com,Male,238926,0.8,17,3,0
566,Kimberly,Ramirez,kramirezfp@reference.com,Female,434048,0.3,20,3,1
567,Joan,Elliott,jelliottfq@jigsy.com,Female,191006,0.3,6,12,1
568,James,Bowman,jbowmanfr@pbs.org,Male,87588,0.5,11,7,0
569,Mary,Cole,mcolefs@macromedia.com,Female,313544,0.9,17,10,0
570,Donald,Garcia,dgarciaft@yellowpages.com,Male,167290,1,20,9,1
571,Rebecca,Garza,rgarzafu@google.pl,Female,279412,0.7,7,7,0
572,Kevin,Turner,kturnerfv@purevolume.com,Male,254191,0.9,12,8,1
573,William,Bailey,wbaileyfw@who.int,Male,134183,0.8,10,9,0
574,Adam,Cox,acoxfx@joomla.org,Male,140596,0.2,15,12,0
575,Maria,Flores,mfloresfy@webs.com,Female,352611,0.8,8,8,1
576,Jeremy,Wheeler,jwheelerfz@cam.ac.uk,Male,107270,0.2,8,12,0
577,Bobby,Bradley,bbradleyg0@mayoclinic.com,Male,372995,0.6,18,3,1
578,Gregory,Garcia,ggarciag1@opera.com,Male,227835,1,6,10,0
579,Shawn,Burke,sburkeg2@scientificamerican.com,Male,159600,0,20,12,0
580,Denise,Sanders,dsandersg3@samsung.com,Female,425869,0,8,10,0
581,Eric,Hart,ehartg4@elpais.com,Male,351338,0.6,16,8,1
582,Philip,Burton,pburtong5@joomla.org,Male,411644,0.3,17,4,1
583,Billy,Cooper,bcooperg6@miibeian.gov.cn,Male,129439,0,14,6,0
584,Gregory,Arnold,garnoldg7@360.cn,Male,79597,0.6,8,9,1
585,Maria,Webb,mwebbg8@boston.com,Female,234616,0.3,16,4,0
586,Lois,Castillo,lcastillog9@digg.com,Female,428503,0.1,20,4,1
587,Julia,Schmidt,jschmidtga@npr.org,Female,444938,0.2,18,10,1
588,Jennifer,Cole,jcolegb@delicious.com,Female,471462,0.3,8,3,1
589,Angela,Ramos,aramosgc@examiner.com,Female,155748,0.9,12,10,1
590,Nancy,Edwards,nedwardsgd@usda.gov,Female,460999,0.1,11,3,0
591,Paul,Phillips,pphillipsge@bizjournals.com,Male,314667,0.5,10,11,0
592,Albert,Mcdonald,amcdonaldgf@meetup.com,Male,211303,0.3,9,4,1
593,Dennis,Richardson,drichardsongg@pen.io,Male,267899,0.5,13,9,0
594,Richard,Gonzales,rgonzalesgh@craigslist.org,Male,81585,0.6,7,8,1
595,Teresa,Jones,tjonesgi@nba.com,Female,380647,0.6,13,3,0
596,Kathy,Dunn,kdunngj@blog.com,Female,425000,0.6,16,11,1
597,Arthur,Moreno,amorenogk@newsvine.com,Male,50686,0.6,10,9,0
598,Evelyn,Lewis,elewisgl@prnewswire.com,Female,341527,0.5,14,3,1
599,Henry,Grant,hgrantgm@uiuc.edu,Male,165856,0.6,5,9,1
600,Evelyn,Franklin,efranklingn@nydailynews.com,Female,321970,0.8,20,6,1
601,Terry,Griffin,tgriffingo@miitbeian.gov.cn,Male,148307,0.7,10,9,1
602,Johnny,Williams,jwilliamsgp@newsvine.com,Male,417550,0.1,18,5,1
603,Elizabeth,Franklin,efranklingq@geocities.jp,Female,495763,0.6,5,7,1
604,Jane,Ray,jraygr@xing.com,Female,238618,0.7,11,4,0
605,Philip,Sullivan,psullivangs@alexa.com,Male,97387,0.7,6,12,0
606,William,Griffin,wgriffingt@tamu.edu,Male,261999,0.1,16,10,1
607,Earl,Simpson,esimpsongu@oaic.gov.au,Male,138726,0.9,15,9,0
608,Deborah,Weaver,dweavergv@earthlink.net,Female,406535,0.4,10,12,1
609,Joe,Dunn,jdunngw@foxnews.com,Male,387713,0.1,12,9,0
610,Gloria,Gardner,ggardnergx@networksolutions.com,Female,251210,0.8,5,7,0
611,Denise,Riley,drileygy@cpanel.net,Female,499869,0.9,6,7,0
612,Stephen,Allen,sallengz@themeforest.net,Male,448533,0.7,14,11,1
613,Jonathan,Harris,jharrish0@t-online.de,Male,375039,0.8,20,11,0
614,Adam,Hill,ahillh1@nymag.com,Male,267519,0.8,17,5,1
615,Peter,Gomez,pgomezh2@paypal.com,Male,115674,0.3,11,8,0
616,Gregory,Crawford,gcrawfordh3@soup.io,Male,295910,0,16,8,1
617,Carlos,Burke,cburkeh4@economist.com,Male,206771,0.6,19,5,1
618,Wayne,Jenkins,wjenkinsh5@businesswire.com,Male,483122,0,14,12,1
619,Ronald,Hawkins,rhawkinsh6@amazon.co.uk,Male,303401,0.2,17,9,0
620,Bruce,Burns,bburnsh7@yellowpages.com,Male,473115,0.9,9,7,0
621,Charles,Greene,cgreeneh8@harvard.edu,Male,120879,0.9,6,12,0
622,Wayne,Fields,wfieldsh9@creativecommons.org,Male,243048,0.9,6,8,0
623,Janet,Perkins,jperkinsha@sciencedirect.com,Female,187183,0.5,17,6,0
624,Harry,Johnson,hjohnsonhb@yahoo.co.jp,Male,280475,0.2,11,7,0
625,Raymond,Ross,rrosshc@shareasale.com,Male,485407,0.9,13,10,1
626,Christine,Kelley,ckelleyhd@vk.com,Female,344419,0.2,16,11,0
627,Larry,Austin,laustinhe@storify.com,Male,409590,0.8,10,4,0
628,Sara,Boyd,sboydhf@edublogs.org,Female,225138,0.4,14,7,0
629,Debra,Lawrence,dlawrencehg@liveinternet.ru,Female,315990,0.6,13,9,1
630,Brandon,Myers,bmyershh@economist.com,Male,395384,0.4,6,5,0
631,Lillian,White,lwhitehi@ocn.ne.jp,Female,287401,0.3,14,9,1
632,Harold,Lane,hlanehj@moonfruit.com,Male,353163,0.4,13,3,0
633,Susan,Garcia,sgarciahk@w3.org,Female,156237,1,15,12,1
634,Denise,Day,ddayhl@spiegel.de,Female,200779,0.9,10,9,0
635,Dennis,Edwards,dedwardshm@ebay.co.uk,Male,359377,0.1,11,12,1
636,Fred,Gonzales,fgonzaleshn@google.fr,Male,165813,0.7,19,8,1
637,Joe,Fuller,jfullerho@uiuc.edu,Male,394328,0.7,6,10,1
638,Judith,Lawson,jlawsonhp@pagesperso-orange.fr,Female,481623,0.3,16,3,1
639,Christopher,Hamilton,chamiltonhq@indiatimes.com,Male,458755,0.9,13,9,0
640,Randy,Martin,rmartinhr@cam.ac.uk,Male,118350,0.1,19,10,0
641,Linda,Chapman,lchapmanhs@dailymotion.com,Female,255210,0.3,16,9,0
642,Jeffrey,Gutierrez,jgutierrezht@columbia.edu,Male,56312,0.4,14,4,1
643,Jason,Welch,jwelchhu@go.com,Male,410680,0.2,14,9,0
644,Amy,Howard,ahowardhv@archive.org,Female,112253,0.5,18,10,1
645,Craig,Reynolds,creynoldshw@berkeley.edu,Male,53072,1,5,5,0
646,Earl,Carter,ecarterhx@ca.gov,Male,472995,0.8,18,5,1
647,Jason,Garrett,jgarretthy@jigsy.com,Male,313379,0.8,11,4,0
648,Annie,George,ageorgehz@friendfeed.com,Female,225693,0.7,16,9,0
649,Phyllis,Fuller,pfulleri0@163.com,Female,103245,0.2,13,4,0
650,Betty,Ramirez,bramirezi1@yahoo.co.jp,Female,169440,0.3,19,12,0
651,Ryan,Lawson,rlawsoni2@fema.gov,Male,93443,0.2,16,10,1
652,Beverly,Ruiz,bruizi3@trellian.com,Female,282319,0.3,13,5,1
653,Jeffrey,Wells,jwellsi4@lulu.com,Male,139818,0.8,5,11,0
654,Martin,Hicks,mhicksi5@umn.edu,Male,393335,0.5,7,12,1
655,Daniel,Payne,dpaynei6@topsy.com,Male,301344,0.9,17,5,1
656,Jean,Grant,jgranti7@123-reg.co.uk,Female,187062,0.7,9,9,0
657,Timothy,Peters,tpetersi8@bluehost.com,Male,198403,0.9,17,8,0
658,Matthew,Hall,mhalli9@psu.edu,Male,83248,0.2,13,7,1
659,Mark,Young,myoungia@ucsd.edu,Male,175446,0.7,13,8,1
660,Doris,Vasquez,dvasquezib@storify.com,Female,252821,0.8,18,8,0
661,Paula,Harrison,pharrisonic@princeton.edu,Female,88021,0.9,18,12,0
662,Sarah,Weaver,sweaverid@e-recht24.de,Female,199606,0.2,15,9,1
663,Diana,Thomas,dthomasie@nifty.com,Female,492959,0.6,16,11,0
664,Lillian,Adams,ladamsif@unblog.fr,Female,197098,0.4,7,9,0
665,Robin,Hawkins,rhawkinsig@themeforest.net,Female,102886,0.8,5,12,1
666,Nicholas,Lane,nlaneih@intel.com,Male,188703,0.6,8,7,1
667,Janice,Wallace,jwallaceii@photobucket.com,Female,272672,1,5,3,1
668,Laura,Mills,lmillsij@stumbleupon.com,Female,92396,0.6,20,4,0
669,Chris,Wells,cwellsik@mozilla.org,Male,51189,0.6,9,10,0
670,Michelle,Marshall,mmarshallil@prnewswire.com,Female,78433,0.8,10,12,0
671,Dorothy,Gibson,dgibsonim@hatena.ne.jp,Female,244815,0.5,16,7,1
672,Laura,Wagner,lwagnerin@sbwire.com,Female,345520,0.6,8,3,1
673,Kathy,Moore,kmooreio@amazon.co.jp,Female,406028,0.5,6,4,1
674,Rebecca,Crawford,rcrawfordip@diigo.com,Female,57181,0.8,8,3,1
675,Jimmy,Mason,jmasoniq@kickstarter.com,Male,337833,0.5,11,4,0
676,Earl,Oliver,eoliverir@toplist.cz,Male,490857,0.6,6,10,0
677,Chris,Stanley,cstanleyis@mediafire.com,Male,173359,0.6,19,10,0
678,Bonnie,Hall,bhallit@home.pl,Female,265644,0.8,16,12,0
679,Dorothy,Fields,dfieldsiu@digg.com,Female,493924,0.9,13,7,0
680,Cheryl,Gordon,cgordoniv@dedecms.com,Female,299513,0.2,18,6,0
681,Clarence,Garcia,cgarciaiw@jugem.jp,Male,102429,0.8,14,3,1
682,Ann,Rodriguez,arodriguezix@lulu.com,Female,109104,0.1,17,10,0
683,Antonio,Bell,abelliy@washingtonpost.com,Male,495689,0.2,18,10,0
684,Kevin,Richardson,krichardsoniz@homestead.com,Male,341275,0.7,15,11,0
685,Justin,Armstrong,jarmstrongj0@desdev.cn,Male,410409,0.6,20,8,0
686,Ashley,Gonzalez,agonzalezj1@delicious.com,Female,323723,0.8,12,6,0
